,Country,Paper,Website,Top
146,Sierra Leone,Aljazeera,https://www.aljazeera.com/where/sierra-leone,https://www.aljazeera.com/news/2021/3/5/who-sees-ebola-risk-as-very-high-for-guineas-neighbours
147,Singapore,Aljazeera,https://www.aljazeera.com/where/singapore,https://www.aljazeera.com/economy/2021/4/15/bb-how-harvard-degrees-paved-the-way-to-worlds-biggest-spac-deal
148,Slovakia,Euronews,https://www.euronews.com/tag/slovakia,https://www.euronews.com//2021/03/28/slovakia-s-prime-minister-to-step-down-amid-sputnik-v-vaccine-scandal
149,Slovenia,Euronews,https://www.euronews.com/tag/slovenia,https://www.euronews.com//2021/04/02/good-business-the-power-of-social-entrepreneurship
150,Somalia,Aljazeera,https://www.aljazeera.com/where/somalia,https://www.aljazeera.com/program/inside-story/2021/4/15/why-has-somalias-president-extended-his-mandate
151,South Africa,Aljazeera,https://www.aljazeera.com/where/south-africa/,https://www.aljazeera.com/news/2021/4/19/evacuations-firefighters-battle-wildfire-cape-town
152,South Sudan,Aljazeera,https://www.aljazeera.com/where/south-sudan,https://www.aljazeera.com/news/2021/4/20/without-urgent-aid-ngos-warn-millions-at-brink-of-famine
153,Spain, El País ,https://www.euronews.com/tag/spain,https://www.euronews.com//2021/04/18/spanish-police-release-pictures-of-3d-printed-gun-factory-bust-in-tenerife
154,Sri Lanka,Aljazeera,https://www.aljazeera.com/where/sri-lanka,https://www.aljazeera.com/news/2021/4/16/prince-philips-car-is-now-a-sri-lankan-royal-artefact
155,Sudan,Aljazeera,https://www.aljazeera.com/where/sudan,https://www.aljazeera.com/news/2021/4/13/more-than-1800-flee-darfur-violence
156,Suriname,Aljazeera,https://www.aljazeera.com/where/suriname,https://www.aljazeera.com/news/2020/12/8/deforestation-wiped-out-8-percent-of-amazon-in-18-years-study
157,Sweden, Dagens Nyheter ,https://www.euronews.com/tag/sweden,https://www.euronews.com//2021/04/16/sweden-to-ease-covid-19-restrictions-for-those-who-ve-been-vaccinated
158,Switzerland, Neue Zürcher Zeitung ,https://www.euronews.com/tag/switzerland,https://www.euronews.com//2021/04/20/ten-sites-in-switzerland-france-and-italy-added-to-conservation-green-list
159,Syria,Reuters,https://www.reuters.com/places/syria,https://www.reuters.com//article/us-mideast-syria-chemicalweapons-sweden/victims-of-chemical-attacks-in-syria-file-complaint-with-swedish-police-idUSKBN2C62HT
160,Tajikistan,Aljazeera,https://www.aljazeera.com/where/tajikistan,https://www.aljazeera.com/news/2020/10/12/tajikistan-leader-rakhmon-wins-election-with-over-90-percent
